life_at_0_0,life_at_0_1,life_at_0_2,life_at_0_3,life_at_0_4,life_at_1_0,life_at_1_1,life_at_1_2,life_at_1_3,life_at_1_4,life_at_2_0,life_at_2_1,life_at_2_2,life_at_2_3,life_at_2_4,life_at_3_0,life_at_3_1,life_at_3_2,life_at_3_3,life_at_3_4,life_at_4_0,life_at_4_1,life_at_4_2,life_at_4_3,life_at_4_4,num_alive,ideal_neighbors_heuristic,max_neighbors_heuristic,min_neighbors_heuristic,is_infinite
True,False,True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,False,False,True,True,15,11,79,0.012658227848101266,False
False,False,False,False,True,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True,False,False,False,False,False,10,17,60,0.016666666666666666,True
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,4,7,23,0.043478260869565216,False
True,False,True,False,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,False,True,14,10,76,0.013157894736842105,False
True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,23,4,128,0.0078125,False
False,True,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,True,True,False,11,16,58,0.017241379310344827,True
True,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,False,True,13,8,71,0.014084507042253521,True
False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,5,10,31,0.03225806451612903,False
True,True,True,False,True,False,True,True,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,18,8,100,0.01,False
False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,10,15,61,0.01639344262295082,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,3,0,11,0.09090909090909091,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,3,4,16,0.0625,False
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,4,7,26,0.038461538461538464,False
False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,7,15,44,0.022727272727272728,False
True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,True,False,True,True,False,True,False,True,True,17,10,94,0.010638297872340425,True
True,False,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,False,False,True,True,16,14,89,0.011235955056179775,True
True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,False,True,False,True,18,8,97,0.010309278350515464,False
False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,8,12,40,0.025,True
True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,19,9,105,0.009523809523809525,False
False,True,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,True,True,False,False,10,12,60,0.016666666666666666,True
True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,True,True,False,19,8,107,0.009345794392523364,False
True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,13,14,71,0.014084507042253521,True
True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,True,False,True,19,6,111,0.009009009009009009,False
False,True,False,True,False,True,True,True,False,False,True,True,False,True,True,True,True,False,False,True,True,False,False,False,True,14,10,81,0.012345679012345678,True
False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,11,19,57,0.017543859649122806,True
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,6,12,34,0.029411764705882353,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,2,2,13,0.07692307692307693,False
